timestamp,event_type,raw,C,F,flowLpm,turbidity_pct,NTU,heaterEnable,setTempF,heaterDemand,heaterOn,overTemp,secOver,heaterStop,levelOk,lidClosed,ui_heater_enable,ui_cycle_state,ui_cycle_remaining_s,ui_cycle_duration_s,ui_cycle_temp_set_f
2026-02-05 13:06:44.881,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:45.884,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:46.888,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:47.889,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:48.892,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:49.896,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:50.899,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:51.901,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:52.906,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:53.911,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:56.027,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:57.032,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:58.034,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:06:59.039,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:00.040,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:01.042,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:02.048,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:02.213,tx_cmd,HEATER 1,,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:02.213,status,Send failed: serial not connected,,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:03.052,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:04.053,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:04.063,tx_cmd,HEATER 0,,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:04.063,status,Send failed: serial not connected,,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:05.054,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:06.057,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:07.059,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:08.061,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:09.065,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:10.066,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:11.071,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:12.072,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:13.074,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:14.076,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:15.082,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:16.084,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:17.089,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:18.094,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:19.099,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:20.100,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:21.104,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:22.106,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:23.109,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:24.111,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:25.115,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:26.119,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:27.123,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:27.830,status,UI cycle state update,,,,,,,,,,,,,,,,IDLE,0,600,95.0
2026-02-05 13:07:27.830,tx_cmd,CYCLE START 600 95.0,,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:27.830,status,Send failed: serial not connected,,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:28.128,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:29.128,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:30.131,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:31.132,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:32.134,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:33.135,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:34.139,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:35.140,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
2026-02-05 13:07:36.145,status,Disconnected: module 'serial' has no attribute 'Serial',,,,,,,,,,,,,,,,,,,
